Id,Name,Type,Possible Type,Lat,Lng,Lat/Lng,Address Override,Geocoded Street,Geocoded Suburb,State,Postcode,Last Known Status,Tags,Owned By,Contracted To
239a1,Canberra Greyhound Racing Club,Greyhound Racing,,-35.345882,149.158722,"-35.345882, 149.158722",,Narrabundah Lane,Symonston,ACT,2609,Closed,,,
9c688,Thoroughbred Park,Horse Racing,,-35.233025,149.136368,"-35.233025, 149.136368",,Randwick Road,Lyneham,ACT,2602,Open,,,
0794f,Farmer Brown's Free Range Eggs,Layer Hens (Eggs),,-35.172871,149.060196,"-35.172871, 149.060196",,Barton Highway,Hall,ACT,2618,Open,Free Range,,
48977,Majura Valley Free Range Eggs,Layer Hens (Eggs),,-35.269993,149.193924,"-35.269993, 149.193924",,Majura Road,Pialligo,ACT,2609,Open,Free Range,,
26cb3,Parkwood Egg Farm,Layer Hens (Eggs),,-35.20525,148.989792,"-35.205250, 148.989792","266 Parkwood Rd, Belconnen ACT, Australia",Parkwood Road,Holt,ACT,2615,Open,,Pace Farm,
550d5,Gold Creek Station,Sheep,,-35.176788,149.076096,"-35.176788, 149.076096",,Victoria Street,Amaroo,ACT,2912,Open,,,
3963e,Canberra Reptile Zoo,Zoos,,-35.190704,149.082672,"-35.190704, 149.082672",,O'Hanlon Place,Nicholls,ACT,2913,Open,,,
5.34E+11,National Zoo & Aquariam,Zoos,,-35.299091,149.070374,"-35.299091, 149.070374",,Lady Denman Drive,Molonglo Valley,ACT,2611,Open,,,
50214,Aberdeen Abattoir,Abattoirs,,-32.162746,150.893875,"-32.162746, 150.893875",,Moray Street,Aberdeen,NSW,2336,Closed,,,
ad163,Afflick Meats (D & S Afflick),Abattoirs,,-35.950527,150.097961,"-35.950527, 150.097961",,Princes Highway,Moruya,NSW,2537,Open,,,
0a413,Alstonville Poultry Farm,Abattoirs,,-28.826668,153.48436,"-28.826668, 153.484360",,Tuckombil Lane,Tuckombil,NSW,2477,Open,,,
8903b,BA's Meat & Poultry,Abattoirs,,-33.931171,150.994873,"-33.931171, 150.994873","9 SHERIDAN CL, MILPERRA",Sheridan Close,Milperra,NSW,2214,Closed,,,
